event_type,face,statement,end_time,duration
show_statement,white_neutral_faces/CFD-WM-209-038-N.jpg,I don't like animals that shed fur.,6,6
jitter,,,10,4
show_grid,white_neutral_faces/CFD-WM-209-038-N.jpg,I don't like animals that shed fur.,16,6
jitter,,,19,3
show_statement,white_neutral_faces/CFD-WM-256-138-N.jpg,I hate the smell of animal poop.,25,6
jitter,,,28,3
show_grid,white_neutral_faces/CFD-WM-256-138-N.jpg,I hate the smell of animal poop.,34,6
jitter,,,35,1
show_statement,white_neutral_faces/CFD-WM-203-023-N.jpg,I love the feeling of satisfaction after helping an animal in need.,41,6
jitter,,,42,1
show_grid,white_neutral_faces/CFD-WM-203-023-N.jpg,I love the feeling of satisfaction after helping an animal in need.,48,6
jitter,,,50,2
show_statement,white_neutral_faces/CFD-WF-002-004-N.jpg,I hate the way animals scratch furniture.,56,6
jitter,,,59,3
show_grid,white_neutral_faces/CFD-WF-002-004-N.jpg,I hate the way animals scratch furniture.,65,6
jitter,,,66,1
show_statement,white_neutral_faces/CFD-WF-210-086-N.jpg,I enjoy the sound of barks.,72,6
jitter,,,76,4
show_grid,white_neutral_faces/CFD-WF-210-086-N.jpg,I enjoy the sound of barks.,82,6
jitter,,,83,1
show_statement,white_neutral_faces/CFD-WF-210-086-N.jpg,I like the feeling fur on my skin.,89,6
jitter,,,90,1
show_grid,white_neutral_faces/CFD-WF-210-086-N.jpg,I like the feeling fur on my skin.,96,6
jitter,,,97,1
show_statement,white_neutral_faces/CFD-WM-209-038-N.jpg,I love the way animals teach me about patience and compassion.,103,6
jitter,,,105,2
show_grid,white_neutral_faces/CFD-WM-209-038-N.jpg,I love the way animals teach me about patience and compassion.,111,6
jitter,,,112,1
show_statement,white_neutral_faces/CFD-WF-002-004-N.jpg,I don't like the way animals can be destructive.,118,6
jitter,,,121,3
show_grid,white_neutral_faces/CFD-WF-002-004-N.jpg,I don't like the way animals can be destructive.,127,6
jitter,,,131,4
show_statement,white_neutral_faces/CFD-WF-205-006-N.jpg,I like when animals are part of my family.,137,6
jitter,,,139,2
show_grid,white_neutral_faces/CFD-WF-205-006-N.jpg,I like when animals are part of my family.,145,6
jitter,,,146,1
show_statement,white_neutral_faces/CFD-WM-209-038-N.jpg,I don't like animals when they're too big.,152,6
jitter,,,154,2
show_grid,white_neutral_faces/CFD-WM-209-038-N.jpg,I don't like animals when they're too big.,160,6
jitter,,,163,3
show_statement,white_neutral_faces/CFD-WF-217-085-N.jpg,I like the sight of a playful puppy running around.,169,6
jitter,,,170,1
show_grid,white_neutral_faces/CFD-WF-217-085-N.jpg,I like the sight of a playful puppy running around.,176,6
jitter,,,180,4
show_statement,white_neutral_faces/CFD-WM-256-138-N.jpg,"I enjoy the feeling of a warm, cuddly dog.",186,6
jitter,,,187,1
show_grid,white_neutral_faces/CFD-WM-256-138-N.jpg,"I enjoy the feeling of a warm, cuddly dog.",193,6
jitter,,,195,2
show_statement,white_neutral_faces/CFD-WM-256-138-N.jpg,"I love animals' big, innocent eyes.",201,6
jitter,,,205,4
show_grid,white_neutral_faces/CFD-WM-256-138-N.jpg,"I love animals' big, innocent eyes.",211,6
jitter,,,215,4
show_statement,white_neutral_faces/CFD-WF-217-085-N.jpg,I love to take animals with me everywhere.,221,6
jitter,,,224,3
show_grid,white_neutral_faces/CFD-WF-217-085-N.jpg,I love to take animals with me everywhere.,230,6
jitter,,,232,2
show_statement,white_neutral_faces/CFD-WM-231-112-N.jpg,I enjoy the company of animals.,238,6
jitter,,,242,4
show_grid,white_neutral_faces/CFD-WM-231-112-N.jpg,I enjoy the company of animals.,248,6
jitter,,,251,3
show_statement,white_neutral_faces/CFD-WF-205-006-N.jpg,I love the feeling of being a responsible pet owner.,257,6
jitter,,,258,1
show_grid,white_neutral_faces/CFD-WF-205-006-N.jpg,I love the feeling of being a responsible pet owner.,264,6
jitter,,,265,1
show_statement,white_neutral_faces/CFD-WM-231-112-N.jpg,I like animals when they're furry.,271,6
jitter,,,272,1
show_grid,white_neutral_faces/CFD-WM-231-112-N.jpg,I like animals when they're furry.,278,6
jitter,,,279,1
show_statement,white_neutral_faces/CFD-WF-002-004-N.jpg,I don't like the feeling of guilt after abandoning an animal.,285,6
jitter,,,287,2
