event_type,face,statement,end_time,duration
encoding,white_neutral_faces/CFD-WF-002-004-N.jpg,I don't like the way animals can be destructive.,6,6
jitter,,,9,3
encoding,white_neutral_faces/CFD-WM-231-112-N.jpg,I hate the smell of animal poop.,15,6
jitter,,,17,2
encoding,white_neutral_faces/CFD-WM-256-138-N.jpg,I love the way animals teach me about patience and compassion.,23,6
jitter,,,26,3
encoding,white_neutral_faces/CFD-WF-217-085-N.jpg,"I love animals' big, innocent eyes.",32,6
jitter,,,33,1
encoding,white_neutral_faces/CFD-WF-205-006-N.jpg,"I enjoy the feeling of a warm, cuddly dog.",39,6
jitter,,,42,3
encoding,white_neutral_faces/CFD-WM-203-023-N.jpg,I like when animals are part of my family.,48,6
jitter,,,49,1
encoding,white_neutral_faces/CFD-WM-231-112-N.jpg,I love the feeling of being a responsible pet owner.,55,6
jitter,,,56,1
encoding,white_neutral_faces/CFD-WF-217-085-N.jpg,I enjoy the company of animals.,62,6
jitter,,,64,2
encoding,white_neutral_faces/CFD-WF-210-086-N.jpg,I don't like the feeling of guilt after abandoning an animal.,70,6
jitter,,,74,4
encoding,white_neutral_faces/CFD-WF-210-086-N.jpg,I don't like animals when they're too big.,80,6
jitter,,,82,2
encoding,white_neutral_faces/CFD-WF-217-085-N.jpg,I don't like animals that shed fur.,88,6
jitter,,,89,1
encoding,white_neutral_faces/CFD-WM-231-112-N.jpg,I like the feeling fur on my skin.,95,6
jitter,,,97,2
encoding,white_neutral_faces/CFD-WF-002-004-N.jpg,I love to take animals with me everywhere.,103,6
jitter,,,107,4
encoding,white_neutral_faces/CFD-WM-209-038-N.jpg,I enjoy the sound of barks.,113,6
jitter,,,114,1
encoding,white_neutral_faces/CFD-WF-210-086-N.jpg,I hate the way animals scratch furniture.,120,6
jitter,,,121,1
encoding,white_neutral_faces/CFD-WF-002-004-N.jpg,I prefer to live in a house with animals.,127,6
jitter,,,131,4
encoding,white_neutral_faces/CFD-WF-205-006-N.jpg,I hate the sight of a sick or injured animal.,137,6
jitter,,,138,1
encoding,white_neutral_faces/CFD-WF-205-006-N.jpg,I like animals when they're furry.,144,6
jitter,,,146,2
encoding,white_neutral_faces/CFD-WM-203-023-N.jpg,I prefer dogs to cats.,152,6
jitter,,,156,4
encoding,white_neutral_faces/CFD-WM-203-023-N.jpg,I love the feeling of satisfaction after helping an animal in need.,162,6
jitter,,,166,4
encoding,white_neutral_faces/CFD-WM-209-038-N.jpg,I like the way animals make me feel happy and loved.,172,6
jitter,,,175,3
encoding,white_neutral_faces/CFD-WM-209-038-N.jpg,I love when animals wag their tails.,181,6
jitter,,,184,3
encoding,white_neutral_faces/CFD-WM-256-138-N.jpg,I hate the way animals can be unpredictable.,190,6
jitter,,,192,2
encoding,white_neutral_faces/CFD-WM-256-138-N.jpg,I like the sight of a playful puppy running around.,198,6
jitter,,,204,6
