event_type,face,statement,end_time,duration
encoding,white_neutral_faces/CFD-WM-041-021-N.jpg,I don't like it when it's too hot outside.,6,6
jitter,,,7,1
encoding,white_neutral_faces/CFD-WM-041-021-N.jpg,I like it when it's warm outside.,13,6
jitter,,,17,4
encoding,white_neutral_faces/CFD-WM-014-002-N.jpg,I don't like the feeling of sand in my shoes.,23,6
jitter,,,24,1
encoding,white_neutral_faces/CFD-WF-200-099-N.jpg,I enjoy the sight of a clear blue sky.,30,6
jitter,,,34,4
encoding,white_neutral_faces/CFD-WF-220-101-N.jpg,I enjoy the feeling of a gentle breeze on my face.,40,6
jitter,,,44,4
encoding,white_neutral_faces/CFD-WM-014-002-N.jpg,I prefer sunny weather to rainy weather.,50,6
jitter,,,52,2
encoding,white_neutral_faces/CFD-WF-200-099-N.jpg,I don't like when it sleets.,58,6
jitter,,,62,4
encoding,white_neutral_faces/CFD-WM-010-001-N.jpg,I enjoy the sight of a rainbow.,68,6
jitter,,,71,3
encoding,white_neutral_faces/CFD-WF-220-101-N.jpg,I like it when it's cloudy on a hot day.,77,6
jitter,,,79,2
encoding,white_neutral_faces/CFD-WF-228-196-N.jpg,"I like the feeling of cool, crisp air.",85,6
jitter,,,86,1
encoding,white_neutral_faces/CFD-WF-201-156-N.jpg,I love the sound of waves crashing on the shore.,92,6
jitter,,,93,1
encoding,white_neutral_faces/CFD-WF-200-099-N.jpg,I like the sight of snow-capped mountains.,99,6
jitter,,,100,1
encoding,white_neutral_faces/CFD-WM-041-021-N.jpg,I hate the feeling of being snowed in.,106,6
jitter,,,108,2
encoding,white_neutral_faces/CFD-WM-207-048-N.jpg,I like a warm spring morning.,114,6
jitter,,,116,2
encoding,white_neutral_faces/CFD-WM-014-002-N.jpg,I hate being cold.,122,6
jitter,,,125,3
encoding,white_neutral_faces/CFD-WF-228-196-N.jpg,I don't like it when it's foggy.,131,6
jitter,,,135,4
encoding,white_neutral_faces/CFD-WM-207-048-N.jpg,I love the smell of rain in the air.,141,6
jitter,,,142,1
encoding,white_neutral_faces/CFD-WM-207-048-N.jpg,I hate the sound of thunder and lightning.,148,6
jitter,,,149,1
encoding,white_neutral_faces/CFD-WF-220-101-N.jpg,I don't like the smell of humidity.,155,6
jitter,,,158,3
encoding,white_neutral_faces/CFD-WF-228-196-N.jpg,I love the smell of the ocean.,164,6
jitter,,,168,4
encoding,white_neutral_faces/CFD-WM-010-001-N.jpg,I prefer a light breeze to a strong wind.,174,6
jitter,,,178,4
encoding,white_neutral_faces/CFD-WF-201-156-N.jpg,I love the feeling of the sun on my skin.,184,6
jitter,,,187,3
encoding,white_neutral_faces/CFD-WM-010-001-N.jpg,I am scared of hailstorms. ,193,6
jitter,,,194,1
encoding,white_neutral_faces/CFD-WF-201-156-N.jpg,I hate the feeling of being sunburned.,200,6
jitter,,,204,4
